date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:32	33018/33018	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202020%2005:27:31%20GMT	http://themes.potenzaglobalsolutions.com/html/the-zayka/menu-style-3.html	H:/NASIR/Office/restaurent-menu/res-menu/themes.potenzaglobalsolutions.com/html/the-zayka/menu-style-3.html	(from )
15:14:32	279/279	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Sep%202020%2009:14:32%20GMT	http://themes.potenzaglobalsolutions.com/robots.txt		(from )
15:14:34	121200/121200	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202020%2005:27:37%20GMT	http://themes.potenzaglobalsolutions.com/html/the-zayka/css/bootstrap.min.css	H:/NASIR/Office/restaurent-menu/res-menu/themes.potenzaglobalsolutions.com/html/the-zayka/css/bootstrap.min.css	(from http://themes.potenzaglobalsolutions.com/html/the-zayka/menu-style-3.html)
15:14:34	29063/29063	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202020%2005:27:39%20GMT	http://themes.potenzaglobalsolutions.com/html/the-zayka/css/font-awesome.min.css	H:/NASIR/Office/restaurent-menu/res-menu/themes.potenzaglobalsolutions.com/html/the-zayka/css/font-awesome.min.css	(from http://themes.potenzaglobalsolutions.com/html/the-zayka/menu-style-3.html)
15:14:35	13514/13514	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202020%2005:27:38%20GMT	http://themes.potenzaglobalsolutions.com/html/the-zayka/css/flaticon.css	H:/NASIR/Office/restaurent-menu/res-menu/themes.potenzaglobalsolutions.com/html/the-zayka/css/flaticon.css	(from http://themes.potenzaglobalsolutions.com/html/the-zayka/menu-style-3.html)
15:14:35	49999/49999	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202020%2005:28:34%20GMT	http://themes.potenzaglobalsolutions.com/html/the-zayka/css/mega-menu/mega_menu.css	H:/NASIR/Office/restaurent-menu/res-menu/themes.potenzaglobalsolutions.com/html/the-zayka/css/mega-menu/mega_menu.css	(from http://themes.potenzaglobalsolutions.com/html/the-zayka/menu-style-3.html)
15:14:36	101820/101820	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202020%2005:27:42%20GMT	http://themes.potenzaglobalsolutions.com/html/the-zayka/css/style.css	H:/NASIR/Office/restaurent-menu/res-menu/themes.potenzaglobalsolutions.com/html/the-zayka/css/style.css	(from http://themes.potenzaglobalsolutions.com/html/the-zayka/menu-style-3.html)
15:14:36	19554/19554	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202020%2005:27:41%20GMT	http://themes.potenzaglobalsolutions.com/html/the-zayka/css/responsive.css	H:/NASIR/Office/restaurent-menu/res-menu/themes.potenzaglobalsolutions.com/html/the-zayka/css/responsive.css	(from http://themes.potenzaglobalsolutions.com/html/the-zayka/menu-style-3.html)
15:14:36	3338/3338	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202020%2005:27:41%20GMT	http://themes.potenzaglobalsolutions.com/html/the-zayka/css/style-customizer.css	H:/NASIR/Office/restaurent-menu/res-menu/themes.potenzaglobalsolutions.com/html/the-zayka/css/style-customizer.css	(from http://themes.potenzaglobalsolutions.com/html/the-zayka/menu-style-3.html)
15:14:37	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2030%20Sep%202020%2009:14:37%20GMT	https://www.googletagmanager.com/gtm.js?id=	H:/NASIR/Office/restaurent-menu/res-menu/www.googletagmanager.com/gtm.95445.delayed	(from http://themes.potenzaglobalsolutions.com/html/the-zayka/menu-style-3.html)
